model,gene,auc,cluster,numGenes
1,TRIP10,0.591785249,cluster_1,1
2,NGFR,0.533839661,cluster_1,1
3,SPAG4,0.580232975,cluster_1,1
4,RSPO4,0.522455071,cluster_1,1
5,GDI1,0.60703588,cluster_1,1
6,SLC48A1,0.613987177,cluster_1,1
7,FOLR1,0.531756741,cluster_1,1
8,SRMS,0.597083507,cluster_1,1
9,TRIP10 + NGFR,0.642926022,cluster_1,2
10,TRIP10 + SPAG4,0.622596658,cluster_3,2
11,TRIP10 + RSPO4,0.612552076,cluster_3,2
12,TRIP10 + GDI1,0.624175365,cluster_1,2
13,TRIP10 + SLC48A1,0.652151821,cluster_3,2
14,TRIP10 + FOLR1,0.590586131,cluster_1,2
15,TRIP10 + SRMS,0.622616914,cluster_3,2
16,NGFR + SPAG4,0.611033472,cluster_1,2
17,NGFR + RSPO4,0.545408377,cluster_1,2
18,NGFR + GDI1,0.629375323,cluster_1,2
19,NGFR + SLC48A1,0.645912128,cluster_1,2
20,NGFR + FOLR1,0.576818452,cluster_1,2
21,NGFR + SRMS,0.624308341,cluster_1,2
22,SPAG4 + RSPO4,0.580684038,cluster_1,2
23,SPAG4 + GDI1,0.638640985,cluster_1,2
24,SPAG4 + SLC48A1,0.637609291,cluster_1,2
25,SPAG4 + FOLR1,0.5895609,cluster_1,2
26,SPAG4 + SRMS,0.614146183,cluster_1,2
27,RSPO4 + GDI1,0.609630517,cluster_1,2
28,RSPO4 + SLC48A1,0.622853816,cluster_1,2
29,RSPO4 + FOLR1,0.550510107,cluster_1,2
30,RSPO4 + SRMS,0.596925657,cluster_1,2
31,GDI1 + SLC48A1,0.648562256,cluster_1,2
32,GDI1 + FOLR1,0.614963303,cluster_1,2
33,GDI1 + SRMS,0.618925206,cluster_1,2
34,SLC48A1 + FOLR1,0.612667858,cluster_1,2
35,SLC48A1 + SRMS,0.653613739,cluster_1,2
36,FOLR1 + SRMS,0.598921622,cluster_1,2
37,TRIP10 + NGFR + SPAG4,0.669545576,cluster_3,3
38,TRIP10 + NGFR + RSPO4,0.649996962,cluster_3,3
39,TRIP10 + NGFR + GDI1,0.659773646,cluster_3,3
40,TRIP10 + NGFR + SLC48A1,0.704104322,cluster_3,3
41,TRIP10 + NGFR + FOLR1,0.646915926,cluster_3,3
42,TRIP10 + NGFR + SRMS,0.672118759,cluster_3,3
43,TRIP10 + SPAG4 + RSPO4,0.628764397,cluster_3,3
44,TRIP10 + SPAG4 + GDI1,0.622596658,cluster_3,3
45,TRIP10 + SPAG4 + SLC48A1,0.667247903,cluster_3,3
46,TRIP10 + SPAG4 + FOLR1,0.610118319,cluster_3,3
47,TRIP10 + SPAG4 + SRMS,0.622596658,cluster_3,3
48,TRIP10 + RSPO4 + GDI1,0.612552076,cluster_3,3
49,TRIP10 + RSPO4 + SLC48A1,0.666300058,cluster_3,3
50,TRIP10 + RSPO4 + FOLR1,0.605924614,cluster_3,3
51,TRIP10 + RSPO4 + SRMS,0.637132209,cluster_3,3
52,TRIP10 + GDI1 + SLC48A1,0.652151821,cluster_3,3
53,TRIP10 + GDI1 + FOLR1,0.625840013,cluster_3,3
54,TRIP10 + GDI1 + SRMS,0.622616914,cluster_3,3
55,TRIP10 + SLC48A1 + FOLR1,0.641935151,cluster_3,3
56,TRIP10 + SLC48A1 + SRMS,0.671214085,cluster_3,3
57,TRIP10 + FOLR1 + SRMS,0.620448668,cluster_2,3
58,NGFR + SPAG4 + RSPO4,0.610656504,cluster_2,3
59,NGFR + SPAG4 + GDI1,0.657664316,cluster_2,3
60,NGFR + SPAG4 + SLC48A1,0.675512372,cluster_2,3
61,NGFR + SPAG4 + FOLR1,0.620507072,cluster_2,3
62,NGFR + SPAG4 + SRMS,0.64401282,cluster_2,3
63,NGFR + RSPO4 + GDI1,0.631069739,cluster_2,3
64,NGFR + RSPO4 + SLC48A1,0.644963829,cluster_2,3
65,NGFR + RSPO4 + FOLR1,0.577366679,cluster_2,3
66,NGFR + RSPO4 + SRMS,0.62459196,cluster_2,3
67,NGFR + GDI1 + SLC48A1,0.673932935,cluster_2,3
68,NGFR + GDI1 + FOLR1,0.642133932,cluster_2,3
69,NGFR + GDI1 + SRMS,0.645310006,cluster_2,3
70,NGFR + SLC48A1 + FOLR1,0.651867481,cluster_2,3
71,NGFR + SLC48A1 + SRMS,0.688450082,cluster_2,3
72,NGFR + FOLR1 + SRMS,0.633949764,cluster_2,3
73,SPAG4 + RSPO4 + GDI1,0.634304239,cluster_2,3
74,SPAG4 + RSPO4 + SLC48A1,0.63930829,cluster_2,3
75,SPAG4 + RSPO4 + FOLR1,0.59145332,cluster_2,3
76,SPAG4 + RSPO4 + SRMS,0.612329236,cluster_2,3
77,SPAG4 + GDI1 + SLC48A1,0.67172623,cluster_2,3
78,SPAG4 + GDI1 + FOLR1,0.637121962,cluster_2,3
79,SPAG4 + GDI1 + SRMS,0.641627085,cluster_2,3
80,SPAG4 + SLC48A1 + FOLR1,0.632620521,cluster_2,3
81,SPAG4 + SLC48A1 + SRMS,0.658638803,cluster_2,3
82,SPAG4 + FOLR1 + SRMS,0.619083301,cluster_2,3
83,RSPO4 + GDI1 + SLC48A1,0.64905237,cluster_2,3
84,RSPO4 + GDI1 + FOLR1,0.613129013,cluster_2,3
85,RSPO4 + GDI1 + SRMS,0.619906187,cluster_2,3
86,RSPO4 + SLC48A1 + FOLR1,0.616028768,cluster_2,3
87,RSPO4 + SLC48A1 + SRMS,0.655360947,cluster_2,3
88,RSPO4 + FOLR1 + SRMS,0.599532167,cluster_2,3
89,GDI1 + SLC48A1 + FOLR1,0.645116056,cluster_2,3
90,GDI1 + SLC48A1 + SRMS,0.662795599,cluster_2,3
91,GDI1 + FOLR1 + SRMS,0.622731811,cluster_2,3
92,SLC48A1 + FOLR1 + SRMS,0.645664247,cluster_2,3
93,TRIP10 + NGFR + SPAG4 + RSPO4,0.667252755,cluster_4,4
94,TRIP10 + NGFR + SPAG4 + GDI1,0.669545576,cluster_4,4
95,TRIP10 + NGFR + SPAG4 + SLC48A1,0.717245768,cluster_4,4
96,TRIP10 + NGFR + SPAG4 + FOLR1,0.66342192,cluster_4,4
97,TRIP10 + NGFR + SPAG4 + SRMS,0.681488411,cluster_4,4
98,TRIP10 + NGFR + RSPO4 + GDI1,0.649996962,cluster_4,4
99,TRIP10 + NGFR + RSPO4 + SLC48A1,0.705614594,cluster_4,4
100,TRIP10 + NGFR + RSPO4 + FOLR1,0.646896799,cluster_4,4
101,TRIP10 + NGFR + RSPO4 + SRMS,0.675885817,cluster_4,4
102,TRIP10 + NGFR + GDI1 + SLC48A1,0.704104322,cluster_4,4
103,TRIP10 + NGFR + GDI1 + FOLR1,0.664469554,cluster_4,4
104,TRIP10 + NGFR + GDI1 + SRMS,0.672118759,cluster_4,4
105,TRIP10 + NGFR + SLC48A1 + FOLR1,0.695916692,cluster_4,4
106,TRIP10 + NGFR + SLC48A1 + SRMS,0.726325305,cluster_4,4
107,TRIP10 + NGFR + FOLR1 + SRMS,0.672783383,cluster_4,4
108,TRIP10 + SPAG4 + RSPO4 + GDI1,0.628764397,cluster_4,4
109,TRIP10 + SPAG4 + RSPO4 + SLC48A1,0.674602983,cluster_4,4
110,TRIP10 + SPAG4 + RSPO4 + FOLR1,0.614923121,cluster_4,4
111,TRIP10 + SPAG4 + RSPO4 + SRMS,0.642231208,cluster_4,4
112,TRIP10 + SPAG4 + GDI1 + SLC48A1,0.667247903,cluster_4,4
113,TRIP10 + SPAG4 + GDI1 + FOLR1,0.610118319,cluster_4,4
114,TRIP10 + SPAG4 + GDI1 + SRMS,0.622596658,cluster_4,4
115,TRIP10 + SPAG4 + SLC48A1 + FOLR1,0.651910345,cluster_4,4
116,TRIP10 + SPAG4 + SLC48A1 + SRMS,0.667247903,cluster_4,4
117,TRIP10 + SPAG4 + FOLR1 + SRMS,0.625377623,cluster_4,4
118,TRIP10 + RSPO4 + GDI1 + SLC48A1,0.666300058,cluster_4,4
119,TRIP10 + RSPO4 + GDI1 + FOLR1,0.622986883,cluster_4,4
120,TRIP10 + RSPO4 + GDI1 + SRMS,0.637132209,cluster_4,4
121,TRIP10 + RSPO4 + SLC48A1 + FOLR1,0.650546319,cluster_4,4
122,TRIP10 + RSPO4 + SLC48A1 + SRMS,0.681574601,cluster_4,4
123,TRIP10 + RSPO4 + FOLR1 + SRMS,0.630171141,cluster_4,4
124,TRIP10 + GDI1 + SLC48A1 + FOLR1,0.641935151,cluster_4,4
125,TRIP10 + GDI1 + SLC48A1 + SRMS,0.671214085,cluster_4,4
126,TRIP10 + GDI1 + FOLR1 + SRMS,0.638093733,cluster_4,4
127,TRIP10 + SLC48A1 + FOLR1 + SRMS,0.659736273,cluster_4,4
128,NGFR + SPAG4 + RSPO4 + GDI1,0.653166449,cluster_5,4
129,NGFR + SPAG4 + RSPO4 + SLC48A1,0.672049497,cluster_5,4
130,NGFR + SPAG4 + RSPO4 + FOLR1,0.618551342,cluster_5,4
131,NGFR + SPAG4 + RSPO4 + SRMS,0.641485473,cluster_5,4
132,NGFR + SPAG4 + GDI1 + SLC48A1,0.675512372,cluster_5,4
133,NGFR + SPAG4 + GDI1 + FOLR1,0.664652032,cluster_5,4
134,NGFR + SPAG4 + GDI1 + SRMS,0.664641687,cluster_5,4
135,NGFR + SPAG4 + SLC48A1 + FOLR1,0.669329733,cluster_5,4
136,NGFR + SPAG4 + SLC48A1 + SRMS,0.69643592,cluster_5,4
137,NGFR + SPAG4 + FOLR1 + SRMS,0.65554,cluster_5,4
138,NGFR + RSPO4 + GDI1 + SLC48A1,0.671803733,cluster_5,4
139,NGFR + RSPO4 + GDI1 + FOLR1,0.639766946,cluster_5,4
140,NGFR + RSPO4 + GDI1 + SRMS,0.62459196,cluster_5,4
141,NGFR + RSPO4 + SLC48A1 + FOLR1,0.644857723,cluster_5,4
142,NGFR + RSPO4 + SLC48A1 + SRMS,0.686972688,cluster_5,4
143,NGFR + RSPO4 + FOLR1 + SRMS,0.632528263,cluster_5,4
144,NGFR + GDI1 + SLC48A1 + FOLR1,0.672176039,cluster_5,4
145,NGFR + GDI1 + SLC48A1 + SRMS,0.688450082,cluster_5,4
146,NGFR + GDI1 + FOLR1 + SRMS,0.657733079,cluster_5,4
147,NGFR + SLC48A1 + FOLR1 + SRMS,0.687693637,cluster_5,4
148,SPAG4 + RSPO4 + GDI1 + SLC48A1,0.665409616,cluster_5,4
149,SPAG4 + RSPO4 + GDI1 + FOLR1,0.613129013,cluster_5,4
150,SPAG4 + RSPO4 + GDI1 + SRMS,0.619906187,cluster_5,4
151,SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.616028768,cluster_5,4
152,SPAG4 + RSPO4 + SLC48A1 + SRMS,0.661266557,cluster_5,4
153,SPAG4 + RSPO4 + FOLR1 + SRMS,0.599532167,cluster_5,4
154,SPAG4 + GDI1 + SLC48A1 + FOLR1,0.66218259,cluster_5,4
155,SPAG4 + GDI1 + SLC48A1 + SRMS,0.67172623,cluster_5,4
156,SPAG4 + GDI1 + FOLR1 + SRMS,0.622731811,cluster_5,4
157,SPAG4 + SLC48A1 + FOLR1 + SRMS,0.654443326,cluster_5,4
158,RSPO4 + GDI1 + SLC48A1 + FOLR1,0.64146761,cluster_5,4
159,RSPO4 + GDI1 + SLC48A1 + SRMS,0.660943851,cluster_5,4
160,RSPO4 + GDI1 + FOLR1 + SRMS,0.622344867,cluster_5,4
161,RSPO4 + SLC48A1 + FOLR1 + SRMS,0.647971758,cluster_5,4
162,GDI1 + SLC48A1 + FOLR1 + SRMS,0.654775977,cluster_5,4
163,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1,0.667252755,cluster_7,5
164,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1,0.716991915,cluster_7,5
165,TRIP10 + NGFR + SPAG4 + RSPO4 + FOLR1,0.66074514,cluster_7,5
166,TRIP10 + NGFR + SPAG4 + RSPO4 + SRMS,0.682722228,cluster_7,5
167,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1,0.717245768,cluster_7,5
168,TRIP10 + NGFR + SPAG4 + GDI1 + FOLR1,0.66342192,cluster_7,5
169,TRIP10 + NGFR + SPAG4 + GDI1 + SRMS,0.681488411,cluster_7,5
170,TRIP10 + NGFR + SPAG4 + SLC48A1 + FOLR1,0.705744075,cluster_7,5
171,TRIP10 + NGFR + SPAG4 + SLC48A1 + SRMS,0.717245768,cluster_7,5
172,TRIP10 + NGFR + SPAG4 + FOLR1 + SRMS,0.677596709,cluster_7,5
173,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1,0.705614594,cluster_7,5
174,TRIP10 + NGFR + RSPO4 + GDI1 + FOLR1,0.646896799,cluster_7,5
175,TRIP10 + NGFR + RSPO4 + GDI1 + SRMS,0.675885817,cluster_7,5
176,TRIP10 + NGFR + RSPO4 + SLC48A1 + FOLR1,0.691913324,cluster_7,5
177,TRIP10 + NGFR + RSPO4 + SLC48A1 + SRMS,0.725107664,cluster_7,5
178,TRIP10 + NGFR + RSPO4 + FOLR1 + SRMS,0.673084181,cluster_7,5
179,TRIP10 + NGFR + GDI1 + SLC48A1 + FOLR1,0.695916692,cluster_7,5
180,TRIP10 + NGFR + GDI1 + SLC48A1 + SRMS,0.726325305,cluster_7,5
181,TRIP10 + NGFR + GDI1 + FOLR1 + SRMS,0.672783383,cluster_7,5
182,TRIP10 + NGFR + SLC48A1 + FOLR1 + SRMS,0.714992136,cluster_7,5
183,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.674602983,cluster_7,5
184,TRIP10 + SPAG4 + RSPO4 + GDI1 + FOLR1,0.614923121,cluster_7,5
185,TRIP10 + SPAG4 + RSPO4 + GDI1 + SRMS,0.642231208,cluster_7,5
186,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.650546319,cluster_7,5
187,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.674602983,cluster_7,5
188,TRIP10 + SPAG4 + RSPO4 + FOLR1 + SRMS,0.630171141,cluster_7,5
189,TRIP10 + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.651910345,cluster_7,5
190,TRIP10 + SPAG4 + GDI1 + SLC48A1 + SRMS,0.667247903,cluster_7,5
191,TRIP10 + SPAG4 + GDI1 + FOLR1 + SRMS,0.625377623,cluster_7,5
192,TRIP10 + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.651910345,cluster_7,5
193,TRIP10 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.650546319,cluster_7,5
194,TRIP10 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.681574601,cluster_7,5
195,TRIP10 + RSPO4 + GDI1 + FOLR1 + SRMS,0.630171141,cluster_7,5
196,TRIP10 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.666775984,cluster_7,5
197,TRIP10 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.659736273,cluster_7,5
198,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.672049497,cluster_6,5
199,NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1,0.639766946,cluster_6,5
200,NGFR + SPAG4 + RSPO4 + GDI1 + SRMS,0.641485473,cluster_6,5
201,NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.661559012,cluster_6,5
202,NGFR + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.692742211,cluster_6,5
203,NGFR + SPAG4 + RSPO4 + FOLR1 + SRMS,0.632528263,cluster_6,5
204,NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.688436444,cluster_6,5
205,NGFR + SPAG4 + GDI1 + SLC48A1 + SRMS,0.69643592,cluster_6,5
206,NGFR + SPAG4 + GDI1 + FOLR1 + SRMS,0.657733079,cluster_6,5
207,NGFR + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.691844909,cluster_6,5
208,NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.66775729,cluster_6,5
209,NGFR + RSPO4 + GDI1 + SLC48A1 + SRMS,0.686972688,cluster_6,5
210,NGFR + RSPO4 + GDI1 + FOLR1 + SRMS,0.654482162,cluster_6,5
211,NGFR + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.683298018,cluster_6,5
212,NGFR + GDI1 + SLC48A1 + FOLR1 + SRMS,0.687693637,cluster_6,5
213,SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.64146761,cluster_6,5
214,SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.661266557,cluster_6,5
215,SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.622344867,cluster_6,5
216,SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.647971758,cluster_6,5
217,SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.654775977,cluster_6,5
218,RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.653718172,cluster_6,5
219,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.716991915,cluster_8,6
220,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1,0.66074514,cluster_8,6
221,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SRMS,0.682722228,cluster_8,6
222,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.700760361,cluster_8,6
223,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.723646299,cluster_8,6
224,TRIP10 + NGFR + SPAG4 + RSPO4 + FOLR1 + SRMS,0.673084181,cluster_8,6
225,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.705744075,cluster_8,6
226,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + SRMS,0.717245768,cluster_8,6
227,TRIP10 + NGFR + SPAG4 + GDI1 + FOLR1 + SRMS,0.677596709,cluster_8,6
228,TRIP10 + NGFR + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.714515372,cluster_8,6
229,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.691913324,cluster_8,6
230,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + SRMS,0.725107664,cluster_8,6
231,TRIP10 + NGFR + RSPO4 + GDI1 + FOLR1 + SRMS,0.673084181,cluster_8,6
232,TRIP10 + NGFR + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.710325724,cluster_8,6
233,TRIP10 + NGFR + GDI1 + SLC48A1 + FOLR1 + SRMS,0.714992136,cluster_8,6
234,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.650546319,cluster_8,6
235,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.674602983,cluster_8,6
236,TRIP10 + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.630171141,cluster_8,6
237,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.666775984,cluster_8,6
238,TRIP10 + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.651910345,cluster_8,6
239,TRIP10 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.666775984,cluster_8,6
240,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.66775729,cluster_6,6
241,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.692742211,cluster_6,6
242,NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.654482162,cluster_6,6
243,NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.683298018,cluster_6,6
244,NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.691844909,cluster_6,6
245,NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.683298018,cluster_6,6
246,SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.653718172,cluster_8,6
247,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.700760361,cluster_8,7
248,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.723646299,cluster_8,7
249,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.673084181,cluster_8,7
250,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.710325724,cluster_8,7
251,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.714515372,cluster_8,7
252,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.710325724,cluster_8,7
253,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.666775984,cluster_8,7
254,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.683298018,cluster_6,7
255,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.710325724,cluster_8,8
